Game,Date,Park,Latitude,Longitude,Role
66675,09/05/25,Randalls Island #52,40.7880943,-73.927639,Referee
66520,09/11/25,Randalls Island #37,40.794732,-73.917568,Referee
66272,09/12/25,Randalls Island #10,40.794175,-73.924294,Referee
69268,09/16/25,Red Hook Soccer Fields,40.795293,-73.916745,Referee
66550,09/18/25,Randalls Island #61,40.784356,-73.925009,Referee
66583,09/19/25,Randalls Island #10,40.794175,-73.924294,Referee
66357,10/09/25,Randalls Island #90,40.785514,-73.9313805,Referee
66651,10/14/25,Randalls Island #75,40.7835881,-73.9258815,AR
5503,10/19/25,Bay Park Athletic Field,40.628741,-73.665991,Fourth
QR2-48,10/12/25,Hofstra Soccer Stadium,40.716354,-73.599588,AR2
77331,06/29/25,Mitchel Athletic Complex,40.71555,-73.575783,AR2
ANPS25-040,06/15/25,Aviator Sports & Events Center,40.590492,-73.895845,AR1
5713,2025-04-12,RVC Athletic Complex,40.65543,-73.652432,AR2
8068,2025-08-30,RVC Athletic Complex,40.65543,-73.652432,AR2
6622,2025-09-06,Brooks Stadium,40.822741,-73.740964,AR2
